41,NN Ser,d,Eclipse Timing Variations,2,2883.5,182.5,-182.5,0,3.43,0.14,-0.14,0,0.19,0.05,-0.05,0,nul,nul,nul,nul,2.3,0.5,-0.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500,nul,nul,0,nul,nul,nul,nul,57000,nul,0,0,0.54,nul,0,0,nul,nul,nul,nul,nul,nul,nul,WD,nul,0,0
42,NY Vir,b,Eclipse Timing Variations,1,2900,nul,nul,nul,3.3,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.3,0.3,-0.3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,13h38m48.15s,204.700623,-02d01m49.1s,-2.030315,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
43,RR Cae,b,Eclipse Timing Variations,1,4343.5,36.5,-36.5,0,5.3,0.6,-0.6,0,0,nul,nul,0,17.6,nul,nul,-1,nul,nul,nul,nul,4.2,0.4,-0.4,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,04h21m05.56s,65.273178,-48d39m07.1s,-48.651978,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.44,nul,0,0,nul,nul,nul,nul,nul,nul,6,M,nul,0,0
44,UZ For,b,Eclipse Timing Variations,2,5840,1095,-1095,0,5.9,1.4,-1.4,0,0.04,0.05,-0.05,0,nul,nul,nul,nul,6.3,1.5,-1.5,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,03h35m28.64s,53.869339,-25d44m21.8s,-25.739395,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
45,UZ For,c,Eclipse Timing Variations,2,1916.25,91.25,-91.25,0,2.8,0.5,-0.5,0,0.05,0.05,-0.05,0,nul,nul,nul,nul,7.7,1.2,-1.2,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,03h35m28.64s,53.869339,-25d44m21.8s,-25.739395,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
46,alf Ari,b,Radial Velocity,1,380.8,0.3,-0.3,0,1.2,nul,nul,0,0.25,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,1.8,0.2,-0.2,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,02h07m10.41s,31.793364,+23d27m44.7s,23.462423,20.21,0.4,-0.41,0,2,nul,0,0,4553,15,0,nul,1.5,0.2,0,nul,13.9,0.3,0,nul,HD 12929,HIP 9884,5.1,K1 IIIb,nul,0,0
47,alf Cen B,b,Radial Velocity,1,3.2357,0.0008,-0.0008,0,0.04,nul,nul,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0.0036,0.0003,-0.0003,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,14h39m35.08s,219.896164,-60d50m13.8s,-60.837154,1.35,0,0,0,1.34,nul,0,0,5214,33,0,1,0.93,0.01,-1,1,0.86,nul,0,1,HD 128621,HIP 71681,5.1,K1 V,nul,0,1
48,bet Pic,b,Imaging,1,6000,nul,nul,0,8,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,8,4,-2,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,05h47m17.09s,86.821198,-51d03m59.4s,-51.066513,19.28,0.19,-0.19,0,3.85,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,HD 39060,HIP 27321,2.5,A5 V,nul,0,0
49,eps Eri,b,Radial Velocity,1,2502,10,-10,0,3.39,0.36,-0.36,0,0.702,0.039,-0.039,0,30.1,3.8,-3.8,0,nul,nul,nul,nul,1.55,0.24,-0.24,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,03h32m55.84s,53.232685,-09d27m29.7s,-9.458262,3.22,0.01,-0.01,0,3.73,nul,0,1,nul,nul,nul,nul,0.83,0.05,0,nul,nul,nul,nul,nul,HD 22049,HIP 16537,5.2,K2 V,nul,0,1
50,eps CrB,b,Radial Velocity,1,417.9,0.5,-0.5,0,1.3,nul,nul,0,0.11,0.03,-0.03,0,nul,nul,nul,nul,6.7,0.3,-0.3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,15h57m35.25s,239.396881,+26d52m40.4s,26.87788,70.42,3.31,-3.65,0,4.15,nul,0,1,4406,15,0,0,1.7,0.1,0,0,21,nul,0,0,HD 143107,HIP 78159,5.2,K2 III,nul,0,0
