# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Mon Mar 24 20:16:32 2014,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [jup] (val),,,,,,,,,,,,,
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc),,,,,,,,,,,,,
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc),,,,,,,,,,,,,
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag),,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,
#,,,,,,,,,,,,,
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
175,2.171,0.105,-0.077,0,1.07,0.24,-0.16,0,354,74,-51,0,2011
176,0.86,0.164,-0.164,0,1.789,0.025,-0.025,0,283,5,-5,0,2011
177,0.762,0.101,-0.101,0,1.686,0.045,-0.045,0,387,9,-9,0,2011
178,3.328,0.211,-0.211,0,1.197,0.128,-0.092,0,257,22,-17,0,2011
179,1.054,0.033,-0.033,0,1.332,0.098,-0.098,0,535,32,-32,0,2011
180,1.832,0.099,-0.099,0,1.264,0.071,-0.071,0,317,17,-17,0,2011
181,1.169,0.103,-0.103,0,1.178,0.077,-0.077,0,411,26,-26,0,2011
182,0.267,0.02,-0.02,0,0.825,0.092,-0.063,0,249,26,-19,0,2012
183,0.599,0.099,-0.099,0,1.571,0.108,-0.081,0,642,29,-29,0,2012
184,0.615,0.038,-0.038,0,1.73,0.062,-0.062,0,501,16,-16,0,2012
185,0.8,0.102,-0.102,0,1.685,0.076,-0.051,0,344,12,-8,0,2012
186,1.044,0.083,-0.083,0,1.28,0.153,-0.153,0,447,41,-41,0,2012
187,0.662,0.06,-0.06,0,1.281,0.062,-0.033,0,542,22,-16,0,2012
188,1.73,0.205,-0.205,0,1.413,0.128,-0.077,0,322,24,-13,0,2014
189,1.855,0.262,-0.196,0,1.302,0.162,-0.098,0,303,38,-23,0,2012
190,1.345,0.15,-0.15,0,1.168,0.03,-0.03,0,360,11,-11,0,2013
191,1.071,0.136,-0.136,0,1.381,0.035,-0.035,0,453,11,-11,0,2013
192,,,,,,,,,25.64,0.41,-0.43,0,2001
193,,,,,,,,,25.64,0.41,-0.43,0,2012
194,,,,,,,,,23.44,0.46,-0.48,0,2009
195,,,,,,,,,167.5,25.26,-36.16,0,2011
196,,,,,,,,,7.01,,,-1,2010
197,,,,,,,,,89.85,8.28,-10.15,0,2002
198,,,,,,,,,53.71,3.63,-4.2,0,2005
199,,,,,,,,,115.21,8.71,-10.26,0,2013
200,,,,,,,,,11.11,0.09,-0.09,0,2003
201,,,,,,,,,44.05,1.84,-2.01,0,2007
202,,,,,,,,,32.7,1.12,-1.2,0,2001
203,,,,,,,,,21.85,0.26,-0.27,0,2005
204,,,,,,,,,77.82,7,-8.53,0,2001
205,,,,,,,,,77.82,7,-8.53,0,2014
206,,,,,,,,,131.41,14.45,-18.52,0,2009
207,,,,,,,,,56.5,2.99,-3.35,0,2012
208,,,,,,,,,56.5,2.99,-3.35,0,2012
209,,,,,,,,,100,9.17,-11.23,0,2007
210,,,,,,,,,53.28,2.59,-2.87,0,2009
211,1.4,,,0,,,,,58.17,2.68,-2.95,0,2012
212,,,,,,,,,150.6,23.21,-33.56,0,2011
213,,,,,,,,,40.32,1.4,-1.5,0,2003
214,,,,,,,,,55.01,2.76,-3.07,0,2009
215,,,,,,,,,35.88,0.87,-0.91,0,2011
216,,,,,,,,,38.52,1.11,-1.18,0,2011
217,,,,,,,,,38.52,1.11,-1.18,0,2011
218,,,,,,,,,16.82,0.17,-0.17,0,2008
219,,,,,,,,,56.34,2.55,-2.8,0,2010
220,,,,,,,,,44.15,1.54,-1.66,0,2002
221,,,,,,,,,38.26,1.12,-1.19,0,2009
222,,,,,,,,,52.85,2.8,-3.14,0,2009
223,,,,,,,,,52.85,2.8,-3.14,0,2009
224,,,,,,,,,39.39,0.94,-0.99,0,2010
225,,,,,,,,,39.39,0.94,-0.99,0,2010
226,,,,,,,,,39.39,0.94,-0.99,0,2010
227,,,,,,,,,39.39,0.94,-0.99,0,2010
228,,,,,,,,,39.39,0.94,-0.99,0,2010
229,,,,,,,,,39.39,0.94,-0.99,0,2010
230,,,,,,,,,17.35,0.19,-0.19,0,2006
231,,,,,,,,,32.56,0.84,-0.88,0,1999
