pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,89.13,5.65,-6.48,2006
NaN,NaN,NaN,NaN,NaN,NaN,34.6,0.66,-0.68,2001
NaN,NaN,NaN,NaN,NaN,NaN,31.79,1.33,-1.45,2011
NaN,NaN,NaN,NaN,NaN,NaN,51.97,2.2,-2.4,2003
NaN,NaN,NaN,NaN,NaN,NaN,46.51,2.13,-2.34,2006
NaN,NaN,NaN,NaN,NaN,NaN,56.05,1.82,-1.95,2010
NaN,NaN,NaN,NaN,NaN,NaN,18.24,0.17,-0.17,2000
NaN,NaN,NaN,NaN,NaN,NaN,44.54,1.5,-1.6,2012
NaN,NaN,NaN,NaN,NaN,NaN,42.37,1.57,-1.7,2005
NaN,NaN,NaN,NaN,NaN,NaN,56.18,1.95,-2.1,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.56,1.62,-1.76,2001
NaN,NaN,NaN,NaN,NaN,NaN,168.92,30.03,-46.6,2011
NaN,NaN,NaN,NaN,NaN,NaN,54.71,2.21,-2.41,2002
NaN,NaN,NaN,NaN,NaN,NaN,26.5,0.61,-0.64,2009
NaN,NaN,NaN,NaN,NaN,NaN,121.07,11.78,-14.62,2011
NaN,NaN,NaN,NaN,NaN,NaN,53.82,3.06,-3.45,2010
NaN,NaN,NaN,NaN,NaN,NaN,117.37,9.84,-11.83,2009
NaN,NaN,NaN,NaN,NaN,NaN,136.8,15.73,-20.43,2011
NaN,NaN,NaN,NaN,NaN,NaN,86.88,6.3,-7.37,2006
NaN,NaN,NaN,NaN,NaN,NaN,20.98,0.23,-0.23,2005
NaN,NaN,NaN,NaN,NaN,NaN,45.01,2.03,-2.23,2009
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2002
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2002
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2005
NaN,NaN,NaN,NaN,NaN,NaN,42.88,2.28,-2.55,2004
NaN,NaN,NaN,NaN,NaN,NaN,42.88,2.28,-2.55,2012
0.34,0.02,-0.02,NaN,NaN,NaN,37.78,0.78,-0.82,2010
NaN,NaN,NaN,NaN,NaN,NaN,42.43,1.59,-1.72,2000
NaN,NaN,NaN,NaN,NaN,NaN,42.43,1.59,-1.72,2000
NaN,NaN,NaN,NaN,NaN,NaN,99.4,14.66,-20.79,2009
NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.15,-0.15,2001
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,33.33,0.89,-0.94,2002
NaN,NaN,NaN,NaN,NaN,NaN,43.03,1.81,-1.98,2004
NaN,NaN,NaN,NaN,NaN,NaN,43.03,1.81,-1.98,2003
NaN,NaN,NaN,NaN,NaN,NaN,52.03,2.05,-2.23,2013
NaN,NaN,NaN,NaN,NaN,NaN,52.03,2.05,-2.23,2013
NaN,NaN,NaN,NaN,NaN,NaN,54.94,5.88,-7.48,2010
NaN,NaN,NaN,NaN,NaN,NaN,37.05,1.11,-1.18,2008
NaN,NaN,NaN,NaN,NaN,NaN,93.2,9.09,-11.3,2007
NaN,NaN,NaN,NaN,NaN,NaN,50.43,2.47,-2.73,2010
NaN,NaN,NaN,NaN,NaN,NaN,32.58,0.84,-0.88,2008
NaN,NaN,NaN,NaN,NaN,NaN,32.58,0.84,-0.88,2008
NaN,NaN,NaN,NaN,NaN,NaN,48.95,2.24,-2.47,2004
NaN,NaN,NaN,NaN,NaN,NaN,36.14,1.61,-1.77,2008
NaN,NaN,NaN,NaN,NaN,NaN,33.41,1.15,-1.24,2000
NaN,NaN,NaN,NaN,NaN,NaN,37.84,1.21,-1.29,2008
NaN,NaN,NaN,NaN,NaN,NaN,37.84,1.21,-1.29,2008
NaN,NaN,NaN,NaN,NaN,NaN,121.36,7.72,-8.85,2002
NaN,NaN,NaN,NaN,NaN,NaN,87.41,5.18,-5.87,2008
NaN,NaN,NaN,NaN,NaN,NaN,40.73,1.81,-1.98,2002
NaN,NaN,NaN,NaN,NaN,NaN,47.26,1.47,-1.57,2005
NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.94,-1,2002
NaN,NaN,NaN,NaN,NaN,NaN,28.07,0.65,-0.68,2000
NaN,NaN,NaN,NaN,NaN,NaN,25.7,0.43,-0.44,2008
NaN,NaN,NaN,NaN,NaN,NaN,25.7,0.43,-0.44,2008
NaN,NaN,NaN,NaN,NaN,NaN,35.8,1.07,-1.14,2005
NaN,NaN,NaN,NaN,NaN,NaN,10.34,0.09,-0.09,2006
NaN,NaN,NaN,NaN,NaN,NaN,32.62,0.72,-0.75,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.59,0.85,-0.9,2003
NaN,NaN,NaN,NaN,NaN,NaN,35.59,0.85,-0.9,2011
NaN,NaN,NaN,NaN,NaN,NaN,80.06,5.82,-6.82,2012
