336,,64.56,HD 74156 b,2003,2
337,,64.56,HD 74156 c,2003,2
338,,28.94,HD 75289 b,1999,2
339,,80.58,HD 75898 b,2007,2
340,,59.7,HD 76700 b,2002,2
341,,41.27,HD 77338 b,2012,2
342,,48.64,HD 79498 b,2011,2
343,0.98,29.04,HD 80606 b,2001,2
344,,32.56,HD 81040 b,2005,2
345,,88.26,HD 81688 b,2007,2
346,,27.46,HD 82943 b,2003,2
347,,27.46,HD 82943 c,2003,2
348,,112.23,HD 82886 b,2011,2
349,,43.53,HD 83443 b,2002,2
350,,33.96,HD 85390 b,2009,2
351,,11.15,HD 85512 b,2011,2
352,,91.16,HD 86081 b,2006,2
353,,42.48,HD 86226 b,2009,2
354,,72.57,HD 86264 b,2009,2
355,,18.06,HD 87883 b,2009,2
356,,74.46,HD 88133 b,2004,2
357,,30.88,HD 89307 b,2009,2
358,,38.99,HD 89744 b,1999,2
359,,22.09,HD 90156 b,2009,2
360,,32.32,HD 92788 b,2000,2
361,,28.9,HD 93083 b,2005,2
362,,91.57,HD 95086 b,2013,2
363,,149.03,HD 95089 b,2009,2
364,,132.8,HD 96063 b,2011,2
365,,84.03,HD 96167 b,2009,2
366,,221.24,HD 96127 b,2011,2
367,0.2,21.3,HD 97658 b,2010,2
368,,150.38,HD 98219 b,2011,2
369,,42.77,HD 98649 b,2012,2
370,,60.46,HD 99109 b,2005,2
371,,17.99,HD 99492 b,2004,2
372,,17.99,HD 99492 c,2010,2
373,,130.89,HD 99706 b,2011,2
374,,140.85,HD 100655 b,2011,2
375,,52.8,HD 100777 b,2007,2
376,,30.5,HD 101930 b,2005,2
377,,42,HD 102117 b,2005,2
378,,28.98,HD 102195 b,2006,2
379,,164.2,HD 102272 b,2008,2
380,,9.24,HD 102365 b,2010,2
381,,138.5,HD 102329 b,2011,2
382,,121.07,HD 102956 b,2010,2
383,,49.33,HD 103197 b,2009,2
384,,53.08,HD 103774 b,2013,2
385,,20.82,HD 104067 b,2009,2
386,,102.04,HD 104985 b,2003,2
387,,37.44,HD 106252 b,2002,2
388,,87.87,HD 106270 b,2011,2
389,,36.36,HD 106515 A b,2012,2
390,,91.83,HD 106906 b,2013,2
391,,51.26,HD 107148 b,2005,2
392,,38.56,HD 108147 b,2002,2
393,,138.5,HD 108863 b,2011,2
