rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
66,241.258,0.064,-0.064,0,0.2596,0.0079,-0.0079,0,nul,nul,nul,nul,nul,nul,nul,nul,1.981,0.019,-0.019,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0,nul,0,0
67,1276.46,0.57,-0.57,0,0.2987,0.0072,-0.0072,0,nul,nul,nul,nul,nul,nul,nul,nul,4.132,0.029,-0.029,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0,nul,0,0
68,3848.86,0.74,-0.74,0,0.00536,0.00044,-0.00044,0,nul,nul,nul,nul,nul,nul,nul,nul,1.059,0.028,-0.028,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0,nul,0,0
69,318280,nul,nul,0,0.13,nul,nul,-1,nul,nul,nul,nul,2.6,0.9,-0.9,0,nul,nul,nul,nul,1.2,nul,nul,0,nul,nul,nul,nul,2,nul,0,0,nul,nul,nul,nul,2.3,A3 V,nul,0,0
70,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,8,4,-2,0,nul,nul,nul,nul,1.664,nul,nul,0,nul,nul,nul,nul,0.85,0.2,0,0,1.35,nul,0,0,5.7,K7 V,nul,0,0
71,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,24.5,2.5,-2.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.4,0.05,0,0,nul,nul,nul,nul,6.35,M3.5 V,nul,0,0
72,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,7.5,2.5,-2.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.02,nul,0,0,nul,nul,nul,nul,6.85,M8.5,nul,0,0
73,4639.15,25.55,-25.55,0,0.487,0.003,-0.003,0,138.2,0.5,-0.5,0,31.44,94.32,-10.48,0,nul,nul,nul,nul,0.97,0.06,-0.06,0,nul,nul,nul,nul,0.12,0.01,0,0,0.1,0,0,0,7,L0,nul,0,0
74,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,1,-1,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.02,nul,0,0,nul,nul,nul,nul,6.8,M8,nul,0,0
75,7336.5,1934.5,-584,0,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,nul,nul,nul,nul,0.92,0.39,-0.36,0,nul,nul,nul,nul,0.08,0.06,0,0,0.12,0.05,0,0,6.85,M8.5,nul,0,0
