rowid,kepoi_name,Planet (earth radi)
869,K01269.01,2.345053231
870,K01270.01,2.230492581
871,K00156.03,2.535514407
872,K01270.02,1.583972992
873,K01271.01,10.48167699
874,K01272.01,1.817244249
875,K01273.01,3.535107953
876,K01274.01,4.735723224
877,K01275.01,3.172095941
878,K01276.01,2.023868415
879,K01445.02,1.127171956
880,K01445.03,0.91799229
881,K01446.01,70.11242836
882,K01447.01,69.19506948
883,K01447.02,14.66180618
884,K01448.01,21.8222203
885,K00019.01,12.92187344
886,K00171.01,2.737879406
887,K01449.01,25.22798065
888,K01450.01,80.45455759
889,K01451.01,23.59367305
890,K01452.01,23.02843802
891,K01453.01,18.18554762
892,K01454.01,11.74219361
893,K01455.01,13.06777718
894,K01456.01,9.476000479
895,K01457.01,7.412914972
896,K01458.01,4.182927134
897,K00171.02,2.11871677
898,K01654.01,27.08392871
899,K01687.01,1.479306713
900,K01688.01,1.128307733
901,K01692.01,2.651498055
902,K00191.03,1.240706038
903,K01692.02,0.839173689
904,K01693.01,2.302570778
905,K01700.01,3.705474602
906,K01701.01,1.729876737
907,K01702.01,1.517027636
908,K01704.01,2.800893224
909,K01705.01,2.752524386
910,K01706.01,1.333086261
911,K01707.01,3.42167216
912,K01708.01,2.182003612
913,K00191.04,2.308424401
914,K01710.01,1.706287509
915,K01711.01,2.201661302
916,K01713.01,1.411247421
917,K01713.02,1.320002976
918,K01078.01,2.002856528
919,K01078.02,2.30213394
920,K01078.03,2.30213394
921,K01079.01,31.2811732
922,K01080.01,1.397006516
923,K01081.01,2.226124205
924,K01082.01,1.466900526
925,K01082.02,1.235704247
926,K01082.03,1.028424825
927,K01083.01,1.738722698
928,K00143.01,8.305232135
929,K01084.01,1.238434482
930,K01085.01,1.062716574
931,K01086.01,2.263583026
932,K01087.01,35.05359315
933,K01088.01,9.1659441
934,K01276.02,1.233126906
935,K01277.01,1.28179061
936,K01278.01,2.45750614
937,K00157.01,2.883630258
938,K01278.02,3.084586457
939,K01278.03,1.28551465
940,K01278.04,1.327680396
941,K01279.01,1.563616362
942,K01279.02,0.884159221
943,K01280.01,2.947124598
944,K01281.01,1.953537568
945,K01282.01,2.99425937
946,K01283.01,1.461385452
947,K01284.01,65.52563398
948,K00157.02,3.204290869
949,K01459.01,4.115468493
950,K01460.01,7.017500534
951,K01461.01,18.98932873
952,K01462.01,12.34066107
953,K01463.01,16.29940862
954,K01464.01,9.242390673
955,K01465.01,8.015095548
956,K01466.01,9.277992934
957,K01467.01,2.683274711
958,K01468.01,4.463081982
959,K00172.01,2.291103792
960,K01469.01,4.306344665
961,K01470.01,3.451016723
962,K01471.01,2.293397189
963,K01472.01,6.136584832
964,K01473.01,7.08561443
965,K01474.01,9.320584596
966,K01475.01,1.439073973
967,K01746.01,1.878947554
968,K01747.01,1.857651723
969,K01749.01,2.128272592
970,K01750.01,1.309901107
971,K01751.01,2.881598964
972,K01751.02,3.140425218
973,K01753.01,1.63268038
974,K00194.01,14.54151422
975,K01754.01,2.546937709
976,K01758.01,1.5038133
977,K01760.01,2.009889613
978,K01760.02,1.709345372
979,K01761.01,9.08185287
980,K01762.01,2.227653137
981,K01764.01,31.09191332
982,K01765.01,14.91276062
983,K01770.01,2.624301641
984,K01773.01,44.20796106
985,K00022.01,11.27213892
986,K00195.01,11.75408651
987,K01089.01,9.682329779
988,K01089.02,5.269484117
989,K01090.01,36.22475465
990,K01091.01,13.11386355
991,K01092.01,3.793934207
992,K00144.01,3.024859841
993,K01093.01,2.376614744
994,K01094.01,2.844271194
