rowid,koi_pdisposition,koi_disposition,koi_prad,
5072,CANDIDATE,CANDIDATE,1.68,1
6074,NOT DISPOSITIONED,NOT DISPOSITIONED,1.68,0
6238,CANDIDATE,CANDIDATE,1.68,1
6634,CANDIDATE,CANDIDATE,1.68,1
6879,FALSE POSITIVE,FALSE POSITIVE,1.68,0
6896,NOT DISPOSITIONED,NOT DISPOSITIONED,1.68,0
542,CANDIDATE,CANDIDATE,1.69,1
597,CANDIDATE,CANDIDATE,1.69,1
816,CANDIDATE,CANDIDATE,1.69,1
1503,CANDIDATE,CONFIRMED,1.69,1
1514,CANDIDATE,CONFIRMED,1.69,1
1941,CANDIDATE,CONFIRMED,1.69,1
2217,FALSE POSITIVE,FALSE POSITIVE,1.69,0
2442,FALSE POSITIVE,FALSE POSITIVE,1.69,0
2539,CANDIDATE,CANDIDATE,1.69,1
3226,CANDIDATE,CANDIDATE,1.69,1
3544,FALSE POSITIVE,FALSE POSITIVE,1.69,0
4684,CANDIDATE,CONFIRMED,1.69,1
5872,CANDIDATE,CANDIDATE,1.69,1
7054,NOT DISPOSITIONED,NOT DISPOSITIONED,1.69,0
6261,FALSE POSITIVE,FALSE POSITIVE,1.692,0
454,FALSE POSITIVE,FALSE POSITIVE,1.693,0
4955,CANDIDATE,CANDIDATE,1.694,1
6933,FALSE POSITIVE,FALSE POSITIVE,1.696,0
5129,CANDIDATE,CANDIDATE,1.697,1
36,FALSE POSITIVE,FALSE POSITIVE,1.698,0
5149,FALSE POSITIVE,FALSE POSITIVE,1.6981,0
70,FALSE POSITIVE,FALSE POSITIVE,1.7,0
297,CANDIDATE,CONFIRMED,1.7,1
498,CANDIDATE,CONFIRMED,1.7,1
507,FALSE POSITIVE,FALSE POSITIVE,1.7,0
530,CANDIDATE,CANDIDATE,1.7,1
709,FALSE POSITIVE,FALSE POSITIVE,1.7,0
804,FALSE POSITIVE,FALSE POSITIVE,1.7,0
825,CANDIDATE,CANDIDATE,1.7,1
978,CANDIDATE,CONFIRMED,1.7,1
1060,CANDIDATE,CONFIRMED,1.7,1
1158,FALSE POSITIVE,FALSE POSITIVE,1.7,0
1190,CANDIDATE,CONFIRMED,1.7,1
1255,CANDIDATE,CANDIDATE,1.7,1
1272,CANDIDATE,CANDIDATE,1.7,1
1321,CANDIDATE,CONFIRMED,1.7,1
1390,FALSE POSITIVE,FALSE POSITIVE,1.7,0
1493,FALSE POSITIVE,FALSE POSITIVE,1.7,0
1880,CANDIDATE,CONFIRMED,1.7,1
1916,CANDIDATE,CONFIRMED,1.7,1
1925,CANDIDATE,CANDIDATE,1.7,1
2048,FALSE POSITIVE,FALSE POSITIVE,1.7,0
2074,CANDIDATE,CANDIDATE,1.7,1
2129,FALSE POSITIVE,FALSE POSITIVE,1.7,0
2215,CANDIDATE,CANDIDATE,1.7,1
2242,CANDIDATE,CONFIRMED,1.7,1
2380,CANDIDATE,CANDIDATE,1.7,1
2411,CANDIDATE,CANDIDATE,1.7,1
2677,CANDIDATE,CONFIRMED,1.7,1
2720,FALSE POSITIVE,FALSE POSITIVE,1.7,0
2826,CANDIDATE,CANDIDATE,1.7,1
3068,CANDIDATE,CANDIDATE,1.7,1
3300,FALSE POSITIVE,FALSE POSITIVE,1.7,0
3414,CANDIDATE,CONFIRMED,1.7,1
3430,CANDIDATE,CANDIDATE,1.7,1
3435,FALSE POSITIVE,FALSE POSITIVE,1.7,0
3527,FALSE POSITIVE,FALSE POSITIVE,1.7,0
3686,CANDIDATE,CONFIRMED,1.7,1
3935,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4064,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4069,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4116,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4138,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4141,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4199,CANDIDATE,CANDIDATE,1.7,1
4210,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4252,CANDIDATE,CANDIDATE,1.7,1
4282,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4289,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4330,FALSE POSITIVE,FALSE POSITIVE,1.7,0
4337,FALSE POSITIVE,FALSE POSITIVE,1.7,0
