0.195205,NaN,2011,NaN
NaN,11.0869,2011,20
NaN,1.85721,2011,16
0.249,NaN,2012,NaN
NaN,1.20645,2009,17
1.007,10.371,2014,13
NaN,1.79148,2009,59
NaN,2.2924,2012,51
1.115,0.376728,2012,23
0.066,NaN,2013,NaN
0.216597,NaN,2011,NaN
NaN,2.17173,2010,28
1.2,NaN,2008,NaN
NaN,0.477325,2005,28
NaN,7.69745,1999,130
NaN,0.0743252,2011,190
NaN,1.83614,2005,38
NaN,0.0367709,2006,74
0.1459,0,2011,0
NaN,0.071203,2009,66
1.358,1.454,2013,21
0.508958,NaN,2013,NaN
NaN,1.14357,2009,31
NaN,7.67663,2007,20
0.373377,0.0264262,2011,13
NaN,0.5122,2005,35
NaN,1.05448,2000,120
0.15242,NaN,2013,NaN
NaN,1.9,2006,36
