rowid,tce_prad,tce_prad_err,flag
398,0.9153,1.08E+00,0
16212,0.9154,3.60E-01,0
7305,0.9165,1.00E+00,0
9414,0.9171,3.21E-01,0
14238,0.919,3.13E+00,0
6636,0.9196,6.40E-02,0
15173,0.9196,9.96E-01,0
3627,0.9199,5.70E-01,0
5667,0.9204,1.44E+00,0
13261,0.9204,5.29E-01,0
2001,0.9207,6.58E-01,0
781,0.9221,2.38E-01,0
11707,0.9227,7.38E-01,0
13400,0.9227,7.94E-02,0
368,0.9239,4.16E-01,0
8391,0.9244,1.11E+00,0
2506,0.9256,4.22E-01,0
13093,0.9258,6.15E-01,0
6110,0.9261,1.17E+00,0
351,0.9266,2.46E-01,0
13578,0.9271,5.32E-01,0
9359,0.9279,3.42E-01,0
4581,0.9285,7.46E-01,0
10102,0.9296,5.69E-02,0
9934,0.9303,3.20E-01,0
12003,0.9309,1.16E+02,3
3044,0.9318,7.11E-01,0
8410,0.932,0.00E+00,0
11985,0.9321,1.97E-01,0
7314,0.9332,8.51E-01,0
7829,0.9332,1.71E-01,0
4271,0.9334,3.50E-01,0
8680,0.9335,1.05E+00,0
2713,0.9338,2.13E+00,0
146,0.934,7.67E-01,0
4743,0.9346,5.26E-01,0
6802,0.9355,4.02E-01,0
15710,0.9358,3.73E-01,0
2226,0.9369,3.94E-01,0
9532,0.9381,1.75E-01,0
6776,0.9385,1.09E-01,0
8231,0.9387,7.24E-01,0
10212,0.9387,0.00E+00,0
5457,0.9389,2.14E-01,0
7361,0.939,2.06E-01,0
7228,0.9391,8.06E-01,0
15877,0.9396,1.52E+00,0
5437,0.9397,3.59E-01,0
14043,0.9398,4.43E-01,0
14094,0.9398,9.36E-01,0
686,0.9402,7.09E-01,0
14047,0.9409,3.82E-02,0
2195,0.9414,2.80E-01,0
2176,0.942,1.47E+00,0
9758,0.9425,3.13E-02,0
2919,0.943,6.27E-01,0
14252,0.9431,1.17E+00,0
2535,0.944,7.71E-01,0
13752,0.944,4.88E-01,0
2794,0.9447,4.35E+00,0
2343,0.9452,4.95E-01,0
13655,0.9462,2.56E+00,0
9899,0.9464,5.17E-01,0
9762,0.9469,2.08E-01,0
2136,0.9473,4.55E-01,0
4895,0.9475,3.30E-01,0
1137,0.9492,3.45E-01,0
12303,0.9496,1.56E+00,0
3369,0.9497,4.04E-01,0
9051,0.95,6.85E-01,0
11151,0.95,6.96E-01,0
12714,0.9502,6.92E-01,0
959,0.9508,9.84E-02,0
13599,0.9511,3.77E-01,0
3181,0.9513,6.27E-01,0
16062,0.9519,8.68E-01,0
8171,0.9527,1.02E+00,0
7976,0.9535,5.68E-01,0
8932,0.9542,3.71E-02,0
15783,0.9549,1.38E+00,0
13477,0.9553,1.70E-01,0
15868,0.9555,4.45E-01,0
12950,0.9559,3.00E-01,0
12329,0.9561,6.35E-01,0
12044,0.9562,1.18E+00,0
4541,0.9566,5.46E-01,0
15210,0.9577,3.57E-01,0
9969,0.9584,1.87E+00,0
11718,0.9586,7.11E-01,0
604,0.9587,3.56E-01,0
6696,0.9593,7.25E-01,0
591,0.9594,6.68E-01,0
4883,0.9595,6.53E-01,0
13217,0.9603,1.84E-01,0
7392,0.9605,1.32E+00,0
13436,0.9609,8.97E-01,0
13007,0.9614,1.74E-01,0
12675,0.9616,1.20E+00,0
16206,0.9616,2.12E+00,0
3029,0.9618,1.72E-01,0
12929,0.962,5.08E-01,0
6618,0.9622,1.11E+00,0
12474,0.9622,4.94E-01,0
4259,0.9632,8.95E-01,0
3165,0.9642,6.72E-01,0
5897,0.9644,1.77E+00,0
7362,0.9644,2.55E-01,0
10607,0.9646,2.34E-01,0
15124,0.9647,0.00E+00,0
2560,0.965,0.00E+00,0
13145,0.9652,4.86E-01,0
15398,0.9671,2.88E-01,0
1420,0.9675,5.46E-01,0
16087,0.9685,2.13E-01,0
6152,0.9688,5.30E-01,0
11475,0.969,8.24E-01,0
1623,0.9704,2.65E+00,0
12471,0.9704,3.55E-01,0
4105,0.9714,7.32E-01,0
12163,0.9714,7.04E-01,0
8082,0.9715,1.12E+00,0
4023,0.9722,1.05E+00,0
4750,0.9723,7.22E-01,0
6945,0.9736,3.35E-01,0
14449,0.9736,2.36E+00,0
14077,0.9741,2.70E-01,0
9955,0.9745,1.93E-01,0
9038,0.9746,2.20E-01,0
9726,0.9747,9.61E-01,0
9403,0.9756,2.19E+00,0
9616,0.9761,3.07E-01,0
1270,0.9764,1.29E+00,0
11661,0.9769,4.97E-01,0
10425,0.9778,8.15E-01,0
5416,0.9787,6.08E-01,0
12742,0.9793,7.50E-01,0
8548,0.9794,2.11E-01,0
4736,0.9795,1.05E+00,0
11011,0.9796,0.00E+00,0
11228,0.9798,4.12E-01,0
14093,0.9801,7.54E-01,0
15838,0.981,3.39E-01,0
14112,0.9811,8.94E-01,0
7336,0.9812,4.04E-01,0
10503,0.9816,6.14E-01,0
7626,0.9817,1.97E-01,0
9724,0.9831,8.26E-01,0
626,0.9832,6.26E-01,0
5621,0.9832,4.87E-01,0
427,0.9833,3.36E-01,0
10226,0.9833,3.82E-01,0
8955,0.9837,8.42E-01,0
6221,0.9839,1.07E+01,2
5826,0.984,1.80E-01,0
10104,0.9842,6.51E-02,0
6804,0.9847,6.12E-01,0
6994,0.9848,6.44E-01,0
15664,0.9848,4.62E-01,0
15721,0.9858,7.53E-01,0
1222,0.9859,1.39E+00,0
731,0.986,1.83E-01,0
15454,0.986,6.96E-01,0
8330,0.9868,3.14E-01,0
12831,0.9868,5.07E-01,0
4093,0.9877,7.06E-01,0
13049,0.9878,2.37E-01,0
9116,0.9886,5.70E-01,0
2661,0.9891,1.77E+00,0
5276,0.9897,1.56E+00,0
7072,0.9897,2.99E+00,0
565,0.99,1.86E+00,0
12643,0.9901,7.18E-01,0
14829,0.9906,3.52E-01,0
8172,0.991,3.09E-01,0
15205,0.9912,2.61E+00,0
9380,0.9919,4.92E-01,0
2200,0.9921,6.08E-01,0
479,0.9922,4.39E-01,0
12101,0.9924,3.11E-01,0
15234,0.9928,2.82E-01,0
9021,0.9937,7.52E-01,0
9559,0.9937,5.60E-01,0
13299,0.9944,2.98E-01,0
13419,0.9951,3.65E-02,0
3969,0.9957,2.34E-01,0
3362,0.9961,2.98E-01,0
3679,0.9966,1.05E-01,0
3025,0.9972,1.62E-01,0
11029,0.9977,1.93E+02,3
11210,0.9977,2.72E-01,0
10678,0.9978,1.01E+00,0
15069,0.9985,9.60E-01,0
3439,1,1.19E-01,0
8305,1,2.38E-01,0
12626,1,1.40E-01,0
2896,1.001,2.23E+00,0
3251,1.001,3.56E-01,0
4322,1.001,2.25E+00,0
6695,1.001,1.00E+00,0
10524,1.001,2.52E-01,0
13702,1.001,1.56E+00,0
4843,1.002,1.17E-01,0
8519,1.002,1.28E+00,0
2130,1.003,3.15E-01,0
2682,1.003,6.18E-02,0
3395,1.003,3.83E-01,0
7029,1.004,1.02E-01,0
8041,1.004,4.48E-01,0
15980,1.004,4.02E-01,0
3608,1.005,1.82E+00,0
5088,1.005,3.19E-01,0
5359,1.005,8.92E-01,0
5929,1.005,6.12E-02,0
7004,1.005,1.65E+00,0
13459,1.005,1.34E+00,0
2928,1.006,1.76E+00,0
8613,1.006,6.67E-02,0
9447,1.006,7.96E-01,0
10965,1.006,1.49E+01,2
12006,1.007,1.41E+00,0
1662,1.008,3.18E-01,0
10918,1.008,1.28E+00,0
