PER,TEFF,R,MSINI,MASS
day,k,rjupiter,mjupiter,mjupiter
242.4613,5638,0.15242,,
63.335879,4249,0.159693,,
591.9,5758.36,,1.9,1.9
4.134444,6043,0.240878,,
17.111027,5551.63,,0.0589738,0.0589738
10.7421,5760,0.28523,0,0
16.092361,4661,0.0669105,,
613.09998,5666,,1.21636,1.21636
23.22182,5807,0.180212,,
1.2137672,3068,0.0695249,,
16.257582,5852,0.0972433,,
5.841648,4249,0.19181,,
4.612696,6133,0.140066,,
2.91625,5653,1.281,0.8514,0.85708
4.311792,5554,0.246231,,
2.64561,,,0.0221881,0.0221881
19.243158,,0.842,0.248865,0.248945
10.7085,5308.11,,1.04309,1.04309
87.648901,6034,0.406816,,
58.034616,5502,0.168615,,
14.667108,5739,0.157909,,
49.183921,5854,0.771701,,
17.265427,6177,0.118655,,
3.410493,4984,0.0651262,,
20.729042,5208,0.180212,,
17.738506,5282,0.165938,,
277.02,4770,,1.70083,1.70083
3.341815,5952,0.140958,,
990,6080,,4.37946,4.37946
3.340222,4255,0.198947,,
3.023573,5285.42,,0.227201,0.227201
9.67395,5190,0.241738,0.0459814,0.045968
5.188549,4605,0.11241,,
11.9016171,5915,0.227293,,
6.790123,6395,1.136,8.40643,8.40643
7.21205,6224,0.313141,,
4.03519,5945,0.885,1.3102,1.31099
436.9,5046,,2.12353,2.12353
1944.5898,5372,,0.608106,0.608106
5.452654,6442,1.197,3.32973,3.334
,,,,1.5
20.8613,6340,0.383278,,
12.513,5497,0.194,,
47.903645,5786,0.250691,,
16.239494,5190,0.363101,,
1125.7,4700,,10.0754,10.0754
5.7727,5765,,0.0240044,0.0240044
92.743711,4351,0.16237,,
2.810595,6304,1.34,0.706657,0.711088
30.133001,5526,0.247123,,
2.711506,6224,0.330092,,
13.367308,5417,0.0270078,,
10.423118,5938,0.0981354,,
1313,6136,,0.682196,0.682196
3.257215,5680,1.212,0.627451,0.627833
12.247629,5956,0.174859,,
431.88,5701.69,,2.08215,2.08215
32.134328,4347,0.146311,,
6.4948,5054,,0.951497,0.951497
37.866281,5788,0.12936,,
22.407793,4048,0.118655,,
13.093921,5740,0.206977,,
14.172327,5900,0.159693,,
318498,8590,1.2,,0.5
8.7832,,,0.0259969,0.0259969
730.6,5927.07,,2.4433,2.4433
71.484,5667.87,,7.29127,7.29127
5.01718,5800,1.37,0.890462,0.891379
9.767292,5554,0.182889,,
5.47666,4648,0.164154,,
30.160546,4991,0.363101,,
8.428198,4844.67,,15.2138,15.2138
5.687945,5888,0.183781,,
,,,,3.7
7.972513,4559,0.322955,,
29.022358,5788,0.222143,,
6.404,5563.62,,0.245103,0.245103
30.0881,,,0.612168,0.612168
10.854092,5466,0.273643,0.0494862,0.0495058
49.514,5636,0.265621,,
3.621457,4249,0.0838612,,
4.028751,6090,0.108841,,
8.187399,5250,0.17932,,
9.946047,5573,0.26675,,
3.93404,5113,,0.020855,0.020855
