# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
153,0.78000,0.09000,-0.09000,0,,,,,480.00,60.00,-60.00,0,2008
154,0.21100,0.01200,-0.01200,0,,,,,142.50,4.20,-3.30,0,2009
155,0.85300,0.02900,-0.04600,0,,,,,214.00,12.00,-12.00,0,2009
156,,,,,15.20000,1.00000,-1.00000,0,214.00,12.00,-12.00,0,2009
157,2.23200,0.05900,-0.05900,0,,,,,205.00,11.00,-11.00,0,2010
158,1.94600,0.06600,-0.06600,0,,,,,190.00,8.00,-8.00,0,2010
159,4.19300,0.09400,-0.09400,0,,,,,235.00,10.00,-10.00,0,2010
160,0.53400,0.01800,-0.01800,0,,,,,90.00,3.00,-3.00,0,2010
161,,,,,3.40000,1.10000,-0.70000,0,90.00,3.00,-3.00,0,2010
162,0.19700,0.01300,-0.01300,0,,,,,166.00,9.00,-9.00,0,2010
163,0.29200,0.01800,-0.01800,0,,,,,215.00,15.00,-15.00,0,2010
164,7.24600,0.18700,-0.18700,0,,,,,70.00,3.00,-3.00,0,2010
165,4.06300,0.16100,-0.16100,0,,,,,254.00,19.00,-19.00,0,2010
166,2.14700,0.06100,-0.06100,0,,,,,82.00,3.00,-3.00,0,2010
167,2.09000,0.11100,-0.11100,0,,,,,393.00,25.00,-25.00,0,2010
168,0.68500,0.03300,-0.03300,0,,,,,396.00,20.00,-20.00,0,2010
169,0.56700,0.02200,-0.02200,0,,,,,297.00,17.00,-13.00,0,2010
170,0.05900,0.00700,-0.00700,0,,,,,134.00,18.00,-8.00,0,2010
171,0.62000,0.03000,-0.03000,0,,,,,204.00,14.00,-14.00,0,2011
172,0.62600,0.03700,-0.03700,0,,,,,395.00,34.00,-26.00,0,2011
173,0.77800,0.07600,-0.04000,0,,,,,322.00,35.00,-21.00,0,2011
174,0.71100,0.02800,-0.02800,0,,,,,193.00,8.00,-8.00,0,2011
175,2.17100,0.10500,-0.07700,0,,,,,354.00,74.00,-51.00,0,2011
176,0.86000,0.16400,-0.16400,0,,,,,283.00,5.00,-5.00,0,2011
177,0.76200,0.10100,-0.10100,0,,,,,387.00,9.00,-9.00,0,2011
178,3.32800,0.21100,-0.21100,0,,,,,257.00,22.00,-17.00,0,2011
179,1.05400,0.03300,-0.03300,0,,,,,535.00,32.00,-32.00,0,2011
180,1.83200,0.09900,-0.09900,0,,,,,317.00,17.00,-17.00,0,2011
181,1.16900,0.10300,-0.10300,0,,,,,411.00,26.00,-26.00,0,2011
182,0.26700,0.02000,-0.02000,0,,,,,249.00,26.00,-19.00,0,2012
183,0.59900,0.09900,-0.09900,0,,,,,642.00,29.00,-29.00,0,2012
184,0.61500,0.03800,-0.03800,0,,,,,501.00,16.00,-16.00,0,2012
185,0.80000,0.10200,-0.10200,0,,,,,344.00,12.00,-8.00,0,2012
186,1.04400,0.08300,-0.08300,0,,,,,447.00,41.00,-41.00,0,2012
187,0.66200,0.06000,-0.06000,0,,,,,542.00,22.00,-16.00,0,2012
188,1.73000,0.20500,-0.20500,0,,,,,322.00,24.00,-13.00,0,2014
189,1.85500,0.26200,-0.19600,0,,,,,303.00,38.00,-23.00,0,2012
190,1.34500,0.15000,-0.15000,0,,,,,360.00,11.00,-11.00,0,2013
191,1.07100,0.13600,-0.13600,0,,,,,453.00,11.00,-11.00,0,2013
192,,,,,1.25000,0.15000,-0.15000,0,25.64,0.41,-0.43,0,2001
