357,NaN,1.78,30.88,2009
358,NaN,8.44,38.99,1999
359,NaN,0.057,22.09,2009
360,NaN,3.86,32.32,2000
361,NaN,0.37,28.9,2005
362,5,NaN,91.57,2013
363,NaN,1.2,149.03,2009
364,NaN,0.9,132.8,2011
365,NaN,0.68,84.03,2009
366,NaN,4,221.24,2011
367,0.024,NaN,21.3,2010
368,NaN,1.8,150.38,2011
369,NaN,6.8,42.77,2012
370,NaN,0.502,60.46,2005
371,NaN,0.087,17.99,2004
372,NaN,0.36,17.99,2010
373,NaN,1.4,130.89,2011
374,NaN,1.7,140.85,2011
375,NaN,1.16,52.8,2007
376,NaN,0.3,30.5,2005
377,NaN,0.172,42,2005
378,NaN,0.45,28.98,2006
379,NaN,5.9,164.2,2008
380,NaN,0.05,9.24,2010
381,NaN,5.9,138.5,2011
382,NaN,0.96,121.07,2010
383,NaN,0.098,49.33,2009
384,NaN,0.367,53.08,2013
385,NaN,0.186,20.82,2009
386,NaN,8.3,102.04,2003
387,NaN,6.92,37.44,2002
388,NaN,11,87.87,2011
389,NaN,9.61,36.36,2012
390,11,NaN,91.83,2013
391,NaN,0.21,51.26,2005
392,NaN,0.261,38.56,2002
393,NaN,2.6,138.5,2011
394,NaN,1.29,68.54,2002
395,NaN,0.99,68.54,2005
396,NaN,0.77,65.62,2010
397,NaN,0.054,56.92,2013
398,NaN,0.076,56.92,2013
399,NaN,0.28,59.03,2005
400,NaN,11.09,97.66,2009
401,NaN,6.84,28.88,2003
402,NaN,2.83,37.42,2013
403,NaN,0.27,15.71,2010
404,NaN,0.71,15.71,2010
405,NaN,1.24,28.04,2003
406,NaN,0.48,20.48,2014
407,NaN,11.68,40.57,1989
408,NaN,1.1,20.43,2001
409,NaN,0.95,35,2002
410,NaN,2.1,110.62,2011
411,NaN,1.88,33.01,2004
412,NaN,0.178,38.02,2004
413,NaN,2.13,88.57,2005
414,NaN,4.5,97.66,2013
415,NaN,1.22,44.37,2003
416,NaN,3,52.83,2007
417,NaN,0.058,52.83,2009
418,NaN,7.2,52.83,2009
419,NaN,0.041,27.45,2009
420,NaN,0.38,68.35,2009
421,NaN,1.45,16.57,2002
422,NaN,3.24,16.57,2005
423,NaN,1.6,67.61,2009
424,NaN,1.04,29.76,1999
425,NaN,2.2,121.36,2011
426,NaN,5.61,70.97,2007
427,NaN,1.49,98.52,2011
428,NaN,18.15,57.21,2008
429,NaN,1.59,25.65,1999
430,NaN,0.82,25.65,2009
431,NaN,2,106.38,2009
432,NaN,9.76,121.36,2008
433,NaN,0.223,38.45,2011
434,NaN,9.7,33.46,2002
435,NaN,1.9,106.38,2011
436,NaN,1.62,34.57,2003
437,NaN,3.12,59.35,2008
438,NaN,2.9,126.1,2010
439,NaN,5.1,35.87,2005
440,NaN,5.76,55.19,2008
