pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
778.1,,5.9,,K0 III,,778.1,247302.0703,NaN,2,,
4.113775,,0.45,,K0 V,,4.113775,1307.473428,NaN,2,,
157.57,,1.7,,K0,,157.57,50080.17892,NaN,2,,
868,,1.4,,K0,,868,275874.8194,NaN,2,,
436.9,,1.8,,K0 III/IV,,436.9,138859.1113,NaN,2,,
5.7361,0.05,,,K0 IV,,5.7361,15.89140665,NaN,2,,
1260,,3.06,,K0 V,,1260,400463.4476,NaN,2,,
197,,0.058,,K0 V,,197,62612.1422,NaN,2,,
31.56,,0.038,,K0 V,,31.56,10030.65588,NaN,2,,
8.667,,0.033,,K0 V,,8.667,2754.616429,NaN,2,,
589.64,,2.9,,K0 III,,589.64,187404.1803,NaN,2,,
3.024,,0.249,,K0 V,,3.024,961.1122742,NaN,2,,
342.85,,0.6579,,K0 V,,342.85,108967.3754,NaN,2,,
226.93,,0.1872,,K0 V,,226.93,72124.73822,NaN,2,,
2720,,3.366,,K0 V,,2720,864492.5218,NaN,2,,
55,,2.3,,K0 V,,55,17480.54732,NaN,2,,
326.6,,1.3,,K0 III,,326.6,103802.6682,NaN,2,,
912,,1.8,,K0 III,,912,289859.2573,NaN,2,,
528.07,,13.65,,K0,,528.07,167835.5022,NaN,2,,
359.9,,4.6,,K0,,359.9,114386.3451,NaN,2,,
1708,,1.92,,K0,,1708,542850.4512,NaN,2,,
262.709,,2.3,,K0,,262.709,83496.31099,NaN,2,,
5.3978,,0.029,,K0,,5.3978,1715.572696,NaN,2,,
615,,0.29,,K0 IV/V,,615,195464.3018,NaN,2,,
792.6,1.4,,,K0,,792.6,444.9593862,NaN,2,,
675,,1.94,,K0 III,,675,214533.9898,NaN,2,,
2732,,2.37,,K0 IV,,2732,868306.4594,NaN,2,,
360.2,,2.37,,K0 IV,,360.2,114481.6935,NaN,2,,
62.218,,0.229,,K0 V,,62.218,19774.63078,NaN,2,,
311.6,,1.6,,K0 III,,311.6,99035.24624,NaN,2,,
431.8,,3.1,,K0,,431.8,137238.1878,NaN,2,,
1.354133,1.345,,1.168,K,,1.354133,427.4788389,12.79073434,2,,
5584,,3.4,,K,,5584,1774752.295,NaN,2,,
10.338523,0.534,,1.01,K,,10.338523,169.720223,11.06048089,2,,
2.899736,0.591,,0.827,K,,2.899736,187.8364266,9.056453166,2,,
392.6,,0.91,,K0 III,,392.6,124779.325,NaN,2,,
137.48,,1.11,,K0,,137.48,43695.01172,NaN,2,,
3.48777,0.458,,,K0 V,,3.48777,145.5652849,NaN,2,,
187.83,1.5,,,K0,,187.83,476.7421995,NaN,2,,
136.75,,2.8,,K0,,136.75,43462.99719,NaN,2,,
1251,1.6,,,K0 III-IV,,1251,508.5250128,NaN,2,,
594.9,,7.6,,K0 III,,594.9,189075.9563,NaN,2,,
181.4,,3.2,,K0 III,,181.4,57654.02333,NaN,2,,
261.2,,0.172,,K0 IV-V,,261.2,83016.70834,NaN,2,,
0.73654,0.027,,0.178,K0 IV-V,,0.73654,8.581359591,1.94927287,2,,
4909,,3.53,,K0 IV-V,,4909,1560218.305,NaN,2,,
44.38,,0.165,,K0 IV-V,,44.38,14105.21254,NaN,2,,
14.651,,0.8,,K0 IV-V,,14.651,4656.499977,NaN,2,,
883,,0.86,,K0 IV,,883,280642.2414,NaN,2,,
452.8,,1.99,,K0 IV,,452.8,143912.5786,NaN,2,,
1773.4,,4.64,,K0 V,,1773.4,563636.4111,NaN,2,,
185.84,,4.8,,K0 III,,185.84,59065.18024,NaN,2,,
874.774,,2.21,,K0 IV,,874.774,278027.7872,NaN,2,,
2231,,2,,G8/K1 (III + F/G),,2231,709074.5647,NaN,2,,
15.7259,,,0.262,G9 V,,15.7259,4998.133437,2.869154449,3,,
442.1,,1.23,,G8/K0 V,,442.1,140511.8176,NaN,2,,
1155,,0.36,,G9 V,,1155,367091.4936,NaN,3,,
1008,,6.56,,G8/K0 V,,1008,320370.7581,NaN,2,,
44.236,,2.12,,G8/K0 V,,44.236,14059.44529,NaN,2,,
1928,,5.1,,G9 IV-V,,1928,612772.6404,NaN,3,,
439.3,,0.502,,G8/K0 IV,,439.3,139621.8988,NaN,2,,
507,,1.2,,G8/K0 IV,,507,161138.8634,NaN,2,,
2.54858,,1.87,,G8/K0 V,,2.54858,810.0104232,NaN,2,,
327.8,,0.6,,G8/K0 IV/V,,327.8,104184.062,NaN,2,,
772,,2.7,,G8/K0 IV,,772,245363.3187,NaN,2,,
1.9000693,3.47,,1.31,G9 V,,1.9000693,1102.863622,14.34577225,3,,
3.698,0.026,,,G9 V,,3.698,8.263531458,NaN,3,,
0.853585,0.015,,0.15,G9 V,,0.853585,4.767421995,1.642645677,3,,
1.3600309,1.76,,1.21,G8 V,,1.3600309,559.3775141,13.25067513,3,,
0.78884,1.168,,1.386,G8 V,,0.78884,371.2232593,15.17804606,3,,
